title,author,normalizedTitle,normalizedAuthor,occurrenceCount,statesCount,districtsCount,topBanStatus,topOrigin,sampleChallenges
Red: A Crayon's Story,"Hall, Michael",red a crayons story,hall michael,1,1,1,Banned in Classrooms,Administration,"[{""state"": ""Florida"", ""district"": ""St. Lucie Public Schools"", ""date"": ""October 2022"", ""banStatus"": ""Banned in Classrooms""}]"
"Reflections in Black: A History of Black Photographers, 1840 to the Present","Willis, Deborah",reflections in black a history of black photographers 1840 to the present,willis deborah,1,1,1,Banned Pending Investigation,Legislative Action,"[{""state"": ""Missouri"", ""district"": ""Wentzville School District"", ""date"": ""September 2022"", ""banStatus"": ""Banned Pending Investigation""}]"
Relish: My Life in the Kitchen,"Knisley, Lucy",relish my life in the kitchen,knisley lucy,1,1,1,Banned in Libraries and Classrooms,Formal Challenge,"[{""state"": ""Texas"", ""district"": ""Keller ISD"", ""date"": ""Fall 2022"", ""banStatus"": ""Banned in Libraries and Classrooms""}]"
Reluctantly Alice,"Naylor, Phyllis Reynolds",reluctantly alice,naylor phyllis reynolds,1,1,1,Banned Pending Investigation,Informal Challenge,"[{""state"": ""Texas"", ""district"": ""Texarkana Independent School District"", ""date"": ""October 2022"", ""banStatus"": ""Banned Pending Investigation""}]"
Rembrandt: Supper at Emmaus,"Zeri, Federico",rembrandt supper at emmaus,zeri federico,1,1,1,Banned Pending Investigation,Legislative Action,"[{""state"": ""Missouri"", ""district"": ""Wentzville School District"", ""date"": ""September 2022"", ""banStatus"": ""Banned Pending Investigation""}]"
Renoir: Moulin de la Galette,"Zeri, Federico",renoir moulin de la galette,zeri federico,1,1,1,Banned Pending Investigation,Legislative Action,"[{""state"": ""Missouri"", ""district"": ""Wentzville School District"", ""date"": ""September 2022"", ""banStatus"": ""Banned Pending Investigation""}]"
Revelations,"de la Cruz, Melissa",revelations,de la cruz melissa,1,1,1,Banned in Libraries,Administration,"[{""state"": ""Texas"", ""district"": ""Frisco Independent School District"", ""date"": ""October 2022"", ""banStatus"": ""Banned in Libraries""}]"
Rick,"Gino, Alex",rick,gino alex,1,1,1,Banned in Libraries,Legislative Action,"[{""state"": ""Florida"", ""district"": ""The School District of Palm Beach County"", ""date"": ""July 2022"", ""banStatus"": ""Banned in Libraries""}]"
Rogue Wave,"Donnelly, Jennifer",rogue wave,donnelly jennifer,1,1,1,Banned in Libraries,Administration,"[{""state"": ""Texas"", ""district"": ""Frisco Independent School District"", ""date"": ""October 2022"", ""banStatus"": ""Banned in Libraries""}]"
"Roll of Thunder, Hear My Cry","Taylor, Mildred D.",roll of thunder hear my cry,taylor mildred d,1,1,1,Banned Pending Investigation,Legislative Action,"[{""state"": ""Florida"", ""district"": ""The School District of Palm Beach County"", ""date"": ""July 2022"", ""banStatus"": ""Banned Pending Investigation""}]"
Rubens: Garden of Love,"Zeri, Federico",rubens garden of love,zeri federico,1,1,1,Banned Pending Investigation,Legislative Action,"[{""state"": ""Missouri"", ""district"": ""Wentzville School District"", ""date"": ""September 2022"", ""banStatus"": ""Banned Pending Investigation""}]"
Salt to the Sea,"Sepetys, Ruta",salt to the sea,sepetys ruta,1,1,1,Banned in Libraries,Administration,"[{""state"": ""Texas"", ""district"": ""Frisco Independent School District"", ""date"": ""October 2022"", ""banStatus"": ""Banned in Libraries""}]"
Scene of the Crime: Tracking Down Criminals with Forensic Science,"Newquist, H.P.",scene of the crime tracking down criminals with forensic science,newquist hp,1,1,1,Banned Pending Investigation,Legislative Action,"[{""state"": ""Missouri"", ""district"": ""Wentzville School District"", ""date"": ""September 2022"", ""banStatus"": ""Banned Pending Investigation""}]"
"Scenic Art for the Theatre: History, Tools and Techniques","Crabtree, Susan",scenic art for the theatre history tools and techniques,crabtree susan,1,1,1,Banned Pending Investigation,Legislative Action,"[{""state"": ""Missouri"", ""district"": ""Wentzville School District"", ""date"": ""September 2022"", ""banStatus"": ""Banned Pending Investigation""}]"
Schooled,"Korman, Gordon",schooled,korman gordon,1,1,1,Banned in Libraries,Administration,"[{""state"": ""Texas"", ""district"": ""Frisco Independent School District"", ""date"": ""October 2022"", ""banStatus"": ""Banned in Libraries""}]"
Scorpia,"Horowitz, Anthony",scorpia,horowitz anthony,1,1,1,Banned in Libraries,Administration,"[{""state"": ""Texas"", ""district"": ""Frisco Independent School District"", ""date"": ""October 2022"", ""banStatus"": ""Banned in Libraries""}]"
Scorpia Rising,"Horowitz, Anthony",scorpia rising,horowitz anthony,1,1,1,Banned in Libraries,Administration,"[{""state"": ""Texas"", ""district"": ""Frisco Independent School District"", ""date"": ""October 2022"", ""banStatus"": ""Banned in Libraries""}]"
Scott Pilgrim Vol. 5: Scott Pilgrim vs. the Universe,"O'Malley, Bryan Lee",scott pilgrim vol 5 scott pilgrim vs the universe,omalley bryan lee,1,1,1,Banned Pending Investigation,Legislative Action,"[{""state"": ""Missouri"", ""district"": ""Wentzville School District"", ""date"": ""September 2022"", ""banStatus"": ""Banned Pending Investigation""}]"
Secret Origins,"Lemire, Jeff",secret origins,lemire jeff,1,1,1,Banned Pending Investigation,Legislative Action,"[{""state"": ""Missouri"", ""district"": ""Wentzville School District"", ""date"": ""September 2022"", ""banStatus"": ""Banned Pending Investigation""}]"
Seeing Gender: An Illustrated Guide to Identity and Expression,"Gottlieb, Iris",seeing gender an illustrated guide to identity and expression,gottlieb iris,1,1,1,Banned in Libraries and Classrooms,Formal Challenge,"[{""state"": ""Virginia"", ""district"": ""Loudoun County Public Schools"", ""date"": ""November 2022"", ""banStatus"": ""Banned in Libraries and Classrooms""}]"
Seek You: A Journey Through American Loneliness,"Radtke, Kristen",seek you a journey through american loneliness,radtke kristen,1,1,1,Banned in Libraries and Classrooms,Legislative Action,"[{""state"": ""Missouri"", ""district"": ""Rockwood School District"", ""date"": ""August 2022"", ""banStatus"": ""Banned in Libraries and Classrooms""}]"
Separate Is Never Equal: Sylvia Mendez and Her Family’s Fight for Desegregation,"Tonatiuh, Duncan",separate is never equal sylvia mendez and her familys fight for desegregation,tonatiuh duncan,1,1,1,Banned Pending Investigation,Informal Challenge,"[{""state"": ""Texas"", ""district"": ""Texarkana Independent School District"", ""date"": ""October 2022"", ""banStatus"": ""Banned Pending Investigation""}]"
