title,author,normalizedTitle,normalizedAuthor,occurrenceCount,statesCount,districtsCount,topBanStatus,topOrigin,sampleChallenges
Democracy,"Papadatos, Alecos",democracy,papadatos alecos,1,1,1,Banned Pending Investigation,Legislative Action,"[{""state"": ""Missouri"", ""district"": ""Wentzville School District"", ""date"": ""September 2022"", ""banStatus"": ""Banned Pending Investigation""}]"
Dicey's Song,"Voigt, Cynthia",diceys song,voigt cynthia,1,1,1,Banned in Libraries,Administration,"[{""state"": ""Texas"", ""district"": ""Frisco Independent School District"", ""date"": ""October 2022"", ""banStatus"": ""Banned in Libraries""}]"
Different Kinds of Fruit,"Lukoff, Kyle",different kinds of fruit,lukoff kyle,1,1,1,Banned in Libraries,Informal Challenge,"[{""state"": ""Florida"", ""district"": ""Broward County Public Schools"", ""date"": ""October 2022"", ""banStatus"": ""Banned in Libraries""}]"
Discovering Mythology - Gods and Goddesses,"Mass, Wendy",discovering mythology gods and goddesses,mass wendy,1,1,1,Banned Pending Investigation,Legislative Action,"[{""state"": ""Missouri"", ""district"": ""Wentzville School District"", ""date"": ""September 2022"", ""banStatus"": ""Banned Pending Investigation""}]"
Don't Know Much About Mythology: Everything You Need to Know About the Greatest Stories in Human History but Never Learned,"Davis, Kenneth C.",dont know much about mythology everything you need to know about the greatest stories in human history but never learned,davis kenneth c,1,1,1,Banned Pending Investigation,Legislative Action,"[{""state"": ""Missouri"", ""district"": ""Wentzville School District"", ""date"": ""September 2022"", ""banStatus"": ""Banned Pending Investigation""}]"
Doomraga's Revenge,"Barron, T.A.",doomragas revenge,barron ta,1,1,1,Banned in Libraries,Administration,"[{""state"": ""Texas"", ""district"": ""Frisco Independent School District"", ""date"": ""October 2022"", ""banStatus"": ""Banned in Libraries""}]"
Draw Me a Star,"Carle, Eric",draw me a star,carle eric,1,1,1,Banned Pending Investigation,Formal Challenge,"[{""state"": ""Florida"", ""district"": ""Escambia County Public Schools"", ""date"": ""September 2022"", ""banStatus"": ""Banned Pending Investigation""}]"
Dreams of Gods and Monsters,"Taylor, Laini",dreams of gods and monsters,taylor laini,1,1,1,Banned in Libraries,Formal Challenge,"[{""state"": ""Indiana"", ""district"": ""Western School Corporation"", ""date"": ""November 2022"", ""banStatus"": ""Banned in Libraries""}]"
Eagle Strike,"Horowitz, Anthony",eagle strike,horowitz anthony,1,1,1,Banned in Libraries,Administration,"[{""state"": ""Texas"", ""district"": ""Frisco Independent School District"", ""date"": ""October 2022"", ""banStatus"": ""Banned in Libraries""}]"
Eden Conquered,"Charbonneau, Joelle",eden conquered,charbonneau joelle,1,1,1,Banned in Libraries,Administration,"[{""state"": ""Texas"", ""district"": ""Frisco Independent School District"", ""date"": ""December 2022"", ""banStatus"": ""Banned in Libraries""}]"
Edward Hopper: A Modern Master,"Berkow, Ita G.",edward hopper a modern master,berkow ita g,1,1,1,Banned Pending Investigation,Legislative Action,"[{""state"": ""Missouri"", ""district"": ""Wentzville School District"", ""date"": ""September 2022"", ""banStatus"": ""Banned Pending Investigation""}]"
Eldest,"Paolini, Christopher",eldest,paolini christopher,1,1,1,Banned in Libraries,Administration,"[{""state"": ""Texas"", ""district"": ""Frisco Independent School District"", ""date"": ""October 2022"", ""banStatus"": ""Banned in Libraries""}]"
"Eleanor Roosevelt, Fighter for Justice: Her Impact on the Civil Rights Movement, the White House, and the World","Cooper, Ilene",eleanor roosevelt fighter for justice her impact on the civil rights movement the white house and the world,cooper ilene,1,1,1,Banned in Libraries,Administration,"[{""state"": ""Texas"", ""district"": ""Frisco Independent School District"", ""date"": ""October 2022"", ""banStatus"": ""Banned in Libraries""}]"
Embrace,"Shirvington, Jessica",embrace,shirvington jessica,1,1,1,Banned Pending Investigation,Formal Challenge,"[{""state"": ""Florida"", ""district"": ""Clay County School District"", ""date"": ""October 2022"", ""banStatus"": ""Banned Pending Investigation""}]"
Emergency Contact,"Choi, Mary H.K.",emergency contact,choi mary hk,1,1,1,Banned in Libraries and Classrooms,Administration,"[{""state"": ""Texas"", ""district"": ""Frisco Independent School District"", ""date"": ""October 2022"", ""banStatus"": ""Banned in Libraries and Classrooms""}]"
Epileptic,"B., David",epileptic,b david,1,1,1,Banned Pending Investigation,Legislative Action,"[{""state"": ""Missouri"", ""district"": ""Wentzville School District"", ""date"": ""September 2022"", ""banStatus"": ""Banned Pending Investigation""}]"
Eragon,"Paolini, Christopher",eragon,paolini christopher,1,1,1,Banned in Libraries,Administration,"[{""state"": ""Texas"", ""district"": ""Frisco Independent School District"", ""date"": ""October 2022"", ""banStatus"": ""Banned in Libraries""}]"
Even If I Fall,"Johnson, Abigail",even if i fall,johnson abigail,1,1,1,Banned in Libraries,Administration,"[{""state"": ""Texas"", ""district"": ""Frisco Independent School District"", ""date"": ""October 2022"", ""banStatus"": ""Banned in Libraries""}]"
Every Hidden Thing,"Oppel, Kenneth",every hidden thing,oppel kenneth,1,1,1,Banned in Libraries,Administration,"[{""state"": ""Texas"", ""district"": ""Frisco Independent School District"", ""date"": ""October 2022"", ""banStatus"": ""Banned in Libraries""}]"
Eyes of the Forest,"Henry, April",eyes of the forest,henry april,1,1,1,Banned in Libraries,Administration,"[{""state"": ""Texas"", ""district"": ""Frisco Independent School District"", ""date"": ""October 2022"", ""banStatus"": ""Banned in Libraries""}]"
Fable,"Young, Adrienne",fable,young adrienne,1,1,1,Banned Pending Investigation,Formal Challenge,"[{""state"": ""Florida"", ""district"": ""Clay County School District"", ""date"": ""September 2022"", ""banStatus"": ""Banned Pending Investigation""}]"
Falling Over Sideways,"Sonnenblick, Jordan",falling over sideways,sonnenblick jordan,1,1,1,Banned in Libraries,Administration,"[{""state"": ""Texas"", ""district"": ""Frisco Independent School District"", ""date"": ""October 2022"", ""banStatus"": ""Banned in Libraries""}]"
Fangirl,"Rowell, Rainbow",fangirl,rowell rainbow,1,1,1,Banned Pending Investigation,Formal Challenge,"[{""state"": ""Florida"", ""district"": ""Clay County School District"", ""date"": ""September 2022"", ""banStatus"": ""Banned Pending Investigation""}]"
Fantastic Four By Mark Waid and Mike Wieringo: Ultimate Collection - Book One (Fantastic Four 1998-2012),"Waid, Mark",fantastic four by mark waid and mike wieringo ultimate collection book one fantastic four 19982012,waid mark,1,1,1,Banned Pending Investigation,Legislative Action,"[{""state"": ""Missouri"", ""district"": ""Wentzville School District"", ""date"": ""September 2022"", ""banStatus"": ""Banned Pending Investigation""}]"
Fences,"Wilson, August",fences,wilson august,1,1,1,Banned in Classrooms,Formal Challenge,"[{""state"": ""Virginia"", ""district"": ""Loudoun County Public Schools"", ""date"": ""November 2022"", ""banStatus"": ""Banned in Classrooms""}]"
Feynman,"Ottaviani, Jim",feynman,ottaviani jim,1,1,1,Banned Pending Investigation,Legislative Action,"[{""state"": ""Missouri"", ""district"": ""Wentzville School District"", ""date"": ""September 2022"", ""banStatus"": ""Banned Pending Investigation""}]"
Filmish: A Graphic Journey Through Film,"Ross, Edward",filmish a graphic journey through film,ross edward,1,1,1,Banned Pending Investigation,Legislative Action,"[{""state"": ""Missouri"", ""district"": ""Wentzville School District"", ""date"": ""September 2022"", ""banStatus"": ""Banned Pending Investigation""}]"
Finding Cinderella,"Hoover, Colleen",finding cinderella,hoover colleen,1,1,1,Banned Pending Investigation,Formal Challenge,"[{""state"": ""Florida"", ""district"": ""Escambia County Public Schools"", ""date"": ""December 2022"", ""banStatus"": ""Banned Pending Investigation""}]"
"Fire Force, Vol. 1","Ohkubo, Atsushi",fire force vol 1,ohkubo atsushi,1,1,1,Banned in Libraries and Classrooms,Legislative Action,"[{""state"": ""Missouri"", ""district"": ""Rockwood School District"", ""date"": ""August 2022"", ""banStatus"": ""Banned in Libraries and Classrooms""}]"
Fire Star,"d'Lacey, Chris",fire star,dlacey chris,1,1,1,Banned in Libraries,Administration,"[{""state"": ""Texas"", ""district"": ""Frisco Independent School District"", ""date"": ""October 2022"", ""banStatus"": ""Banned in Libraries""}]"
Fire Will Fall,"Plum-Ucci, Carol",fire will fall,plumucci carol,1,1,1,Banned in Libraries,Administration,"[{""state"": ""Texas"", ""district"": ""Frisco Independent School District"", ""date"": ""October 2022"", ""banStatus"": ""Banned in Libraries""}]"
Firebug,"McBride, Lish",firebug,mcbride lish,1,1,1,Banned in Libraries,Administration,"[{""state"": ""Texas"", ""district"": ""Frisco Independent School District"", ""date"": ""October 2022"", ""banStatus"": ""Banned in Libraries""}]"
Flawed,"Dorfman, Andrea",flawed,dorfman andrea,1,1,1,Banned Pending Investigation,Legislative Action,"[{""state"": ""Missouri"", ""district"": ""Wentzville School District"", ""date"": ""September 2022"", ""banStatus"": ""Banned Pending Investigation""}]"
Flowers in the Attic,"Andrews, V.C.",flowers in the attic,andrews vc,1,1,1,Banned in Libraries,Legislative Action,"[{""state"": ""Florida"", ""district"": ""School District of Manatee County"", ""date"": ""July 2022"", ""banStatus"": ""Banned in Libraries""}]"
Forbidden,"Suzuma, Tabitha",forbidden,suzuma tabitha,1,1,1,Banned in Libraries and Classrooms,Administration,"[{""state"": ""Texas"", ""district"": ""Katy ISD"", ""date"": ""August 2022"", ""banStatus"": ""Banned in Libraries and Classrooms""}]"
Frankie & Bug,"Forman, Gayle",frankie bug,forman gayle,1,1,1,Banned in Libraries,Legislative Action,"[{""state"": ""Florida"", ""district"": ""The School District of Palm Beach County"", ""date"": ""July 2022"", ""banStatus"": ""Banned in Libraries""}]"
Fred Gets Dressed,"Brown, Peter",fred gets dressed,brown peter,1,1,1,Banned Pending Investigation,Legislative Action,"[{""state"": ""Florida"", ""district"": ""The School District of Palm Beach County"", ""date"": ""July 2022"", ""banStatus"": ""Banned Pending Investigation""}]"
Friends Forever,"Hale, Shannon",friends forever,hale shannon,1,1,1,Banned in Libraries,Administration,"[{""state"": ""Texas"", ""district"": ""Frisco Independent School District"", ""date"": ""October 2022"", ""banStatus"": ""Banned in Libraries""}]"
From Blood and Ash,"Armentrout, Jennifer L.",from blood and ash,armentrout jennifer l,1,1,1,Banned Pending Investigation,Formal Challenge,"[{""state"": ""Florida"", ""district"": ""Escambia County Public Schools"", ""date"": ""September 2022"", ""banStatus"": ""Banned Pending Investigation""}]"
From the Notebooks of Melanin Sun,"Woodson, Jacqueline",from the notebooks of melanin sun,woodson jacqueline,1,1,1,Banned Pending Investigation,Informal Challenge,"[{""state"": ""Texas"", ""district"": ""Texarkana Independent School District"", ""date"": ""October 2022"", ""banStatus"": ""Banned Pending Investigation""}]"
Frost Like Night,"Raasch, Sara",frost like night,raasch sara,1,1,1,Banned in Libraries,Administration,"[{""state"": ""Texas"", ""district"": ""Frisco Independent School District"", ""date"": ""October 2022"", ""banStatus"": ""Banned in Libraries""}]"
Full Bloom: The Art and Life of Georgia O' Keefe,"Drohojowska-Philip, Hunter",full bloom the art and life of georgia o keefe,drohojowskaphilip hunter,1,1,1,Banned Pending Investigation,Legislative Action,"[{""state"": ""Missouri"", ""district"": ""Wentzville School District"", ""date"": ""September 2022"", ""banStatus"": ""Banned Pending Investigation""}]"
Gates of Paradise,"de la Cruz, Melissa",gates of paradise,de la cruz melissa,1,1,1,Banned in Libraries,Administration,"[{""state"": ""Texas"", ""district"": ""Frisco Independent School District"", ""date"": ""October 2022"", ""banStatus"": ""Banned in Libraries""}]"
"Gender Danger: Survivors of Rape, Human Trafficking, and Honor Killings","Simons, Rae",gender danger survivors of rape human trafficking and honor killings,simons rae,1,1,1,Banned in Libraries and Classrooms,Legislative Action,"[{""state"": ""Missouri"", ""district"": ""Kirkwood School District"", ""date"": ""October 2022"", ""banStatus"": ""Banned in Libraries and Classrooms""}]"
Gender Identity (Teen Mental Health),"Petrikowski, Nicki Peter",gender identity teen mental health,petrikowski nicki peter,1,1,1,Banned Pending Investigation,Informal Challenge,"[{""state"": ""Texas"", ""district"": ""Texarkana Independent School District"", ""date"": ""October 2022"", ""banStatus"": ""Banned Pending Investigation""}]"
Gender Issues,"McIntosh, Kenneth",gender issues,mcintosh kenneth,1,1,1,Banned Pending Investigation,Informal Challenge,"[{""state"": ""Texas"", ""district"": ""Texarkana Independent School District"", ""date"": ""October 2022"", ""banStatus"": ""Banned Pending Investigation""}]"
Gender Outlaws: The Next Generation,"Bornstein, Kate",gender outlaws the next generation,bornstein kate,1,1,1,Banned in Libraries and Classrooms,Legislative Action,"[{""state"": ""Missouri"", ""district"": ""Kirkwood School District"", ""date"": ""October 2022"", ""banStatus"": ""Banned in Libraries and Classrooms""}]"
Giant Days,"Allison, John",giant days,allison john,1,1,1,Banned Pending Investigation,Legislative Action,"[{""state"": ""Missouri"", ""district"": ""Wentzville School District"", ""date"": ""September 2022"", ""banStatus"": ""Banned Pending Investigation""}]"
Giant Days: Not On the Test Edition Vol. 1 - Fall Semester,"Allison, John",giant days not on the test edition vol 1 fall semester,allison john,1,1,1,Banned Pending Investigation,Legislative Action,"[{""state"": ""Missouri"", ""district"": ""Wentzville School District"", ""date"": ""September 2022"", ""banStatus"": ""Banned Pending Investigation""}]"
Giant Days: Not On the Test Edition Vol. 2 - Winter Semester,"Allison, John",giant days not on the test edition vol 2 winter semester,allison john,1,1,1,Banned Pending Investigation,Legislative Action,"[{""state"": ""Missouri"", ""district"": ""Wentzville School District"", ""date"": ""September 2022"", ""banStatus"": ""Banned Pending Investigation""}]"
Gilgamesh: A Graphic Novel,"Winegarner, Andrew",gilgamesh a graphic novel,winegarner andrew,1,1,1,Banned in Libraries and Classrooms,Legislative Action,"[{""state"": ""Missouri"", ""district"": ""Rockwood School District"", ""date"": ""August 2022"", ""banStatus"": ""Banned in Libraries and Classrooms""}]"
Girl in Pieces,"Glasgow, Kathleen",girl in pieces,glasgow kathleen,1,1,1,Banned Pending Investigation,Formal Challenge,"[{""state"": ""Florida"", ""district"": ""Escambia County Public Schools"", ""date"": ""September 2022"", ""banStatus"": ""Banned Pending Investigation""}]"
Girl Talk: The Ultimate Body & Puberty Book for Girls,Editors of Cider Mill Press,girl talk the ultimate body puberty book for girls,editors of cider mill press,1,1,1,Banned Pending Investigation,Legislative Action,"[{""state"": ""Missouri"", ""district"": ""Wentzville School District"", ""date"": ""September 2022"", ""banStatus"": ""Banned Pending Investigation""}]"
"Girl, (Nearly) 16: Absolute Torture","Limb, Sue",girl nearly 16 absolute torture,limb sue,1,1,1,Banned Pending Investigation,Informal Challenge,"[{""state"": ""Texas"", ""district"": ""Texarkana Independent School District"", ""date"": ""October 2022"", ""banStatus"": ""Banned Pending Investigation""}]"
Girls Like Us (2015),"Giles, Gail",girls like us 2015,giles gail,1,1,1,Banned Pending Investigation,Formal Challenge,"[{""state"": ""Texas"", ""district"": ""Keller ISD"", ""date"": ""Fall 2022"", ""banStatus"": ""Banned Pending Investigation""}]"
GLBTQ*: The Survival Guide for Queer & Questioning Teens,"Huegel, Kelly",glbtq the survival guide for queer questioning teens,huegel kelly,1,1,1,Banned Pending Investigation,Formal Challenge,"[{""state"": ""Florida"", ""district"": ""Escambia County Public Schools"", ""date"": ""September 2022"", ""banStatus"": ""Banned Pending Investigation""}]"
Glitter,"Daniels, Babygirl",glitter,daniels babygirl,1,1,1,Banned Pending Investigation,Informal Challenge,"[{""state"": ""Texas"", ""district"": ""Texarkana Independent School District"", ""date"": ""October 2022"", ""banStatus"": ""Banned Pending Investigation""}]"
Go with the Flow,"Williams, Lily",go with the flow,williams lily,1,1,1,Banned Pending Investigation,Formal Challenge,"[{""state"": ""Texas"", ""district"": ""Keller ISD"", ""date"": ""Fall 2022"", ""banStatus"": ""Banned Pending Investigation""}]"
Good Talk: A Memoir in Conversations,"Jacob, Mira",good talk a memoir in conversations,jacob mira,1,1,1,Banned Pending Investigation,Legislative Action,"[{""state"": ""Missouri"", ""district"": ""Wentzville School District"", ""date"": ""September 2022"", ""banStatus"": ""Banned Pending Investigation""}]"
Gracefully Grayson,"Polonsky, Ami",gracefully grayson,polonsky ami,1,1,1,Banned in Libraries,Legislative Action,"[{""state"": ""Florida"", ""district"": ""The School District of Palm Beach County"", ""date"": ""July 2022"", ""banStatus"": ""Banned in Libraries""}]"
Graceling,"Cashore, Kristin",graceling,cashore kristin,1,1,1,Banned Pending Investigation,Formal Challenge,"[{""state"": ""Florida"", ""district"": ""Escambia County Public Schools"", ""date"": ""September 2022"", ""banStatus"": ""Banned Pending Investigation""}]"
Graphic Classics Volume 8: Mark Twain - 2nd Edition,"Twain, Mark",graphic classics volume 8 mark twain 2nd edition,twain mark,1,1,1,Banned Pending Investigation,Legislative Action,"[{""state"": ""Missouri"", ""district"": ""Wentzville School District"", ""date"": ""September 2022"", ""banStatus"": ""Banned Pending Investigation""}]"
Graphic Classics: Bram Stoker,"Pomplun, Tom",graphic classics bram stoker,pomplun tom,1,1,1,Banned Pending Investigation,Legislative Action,"[{""state"": ""Missouri"", ""district"": ""Wentzville School District"", ""date"": ""September 2022"", ""banStatus"": ""Banned Pending Investigation""}]"
Graphic Classics: Edgar Allan Poe,"Pomplun, Tom",graphic classics edgar allan poe,pomplun tom,1,1,1,Banned Pending Investigation,Legislative Action,"[{""state"": ""Missouri"", ""district"": ""Wentzville School District"", ""date"": ""September 2022"", ""banStatus"": ""Banned Pending Investigation""}]"
Graphic Design: A New History,"Eskilson, Stephen J.",graphic design a new history,eskilson stephen j,1,1,1,Banned Pending Investigation,Legislative Action,"[{""state"": ""Missouri"", ""district"": ""Wentzville School District"", ""date"": ""September 2022"", ""banStatus"": ""Banned Pending Investigation""}]"
Grass,"Gendry-Kim, Keum Suk",grass,gendrykim keum suk,1,1,1,Banned Pending Investigation,Legislative Action,"[{""state"": ""Missouri"", ""district"": ""Wentzville School District"", ""date"": ""September 2022"", ""banStatus"": ""Banned Pending Investigation""}]"
Great Masterpieces of the World,"Korn, Irene",great masterpieces of the world,korn irene,1,1,1,Banned Pending Investigation,Legislative Action,"[{""state"": ""Missouri"", ""district"": ""Wentzville School District"", ""date"": ""September 2022"", ""banStatus"": ""Banned Pending Investigation""}]"
Green River Killer: A True Detective Story,"Jensen, Jeff",green river killer a true detective story,jensen jeff,1,1,1,Banned Pending Investigation,Legislative Action,"[{""state"": ""Missouri"", ""district"": ""Wentzville School District"", ""date"": ""September 2022"", ""banStatus"": ""Banned Pending Investigation""}]"
Ground Zero,"Gratz, Alan",ground zero,gratz alan,1,1,1,Banned Pending Investigation,Formal Challenge,"[{""state"": ""Florida"", ""district"": ""Escambia County Public Schools"", ""date"": ""September 2022"", ""banStatus"": ""Banned Pending Investigation""}]"
Grown in 60 Seconds,"Lee, Darrien",grown in 60 seconds,lee darrien,1,1,1,Banned Pending Investigation,Informal Challenge,"[{""state"": ""Texas"", ""district"": ""Texarkana Independent School District"", ""date"": ""October 2022"", ""banStatus"": ""Banned Pending Investigation""}]"
Guyaholic,"Mackler, Carolyn",guyaholic,mackler carolyn,1,1,1,Banned Pending Investigation,Formal Challenge,"[{""state"": ""Florida"", ""district"": ""Escambia County Public Schools"", ""date"": ""September 2022"", ""banStatus"": ""Banned Pending Investigation""}]"
Hands Up!,"McDaniel, Breanna J.",hands up,mcdaniel breanna j,1,1,1,Banned Pending Investigation,Informal Challenge,"[{""state"": ""Texas"", ""district"": ""Texarkana Independent School District"", ""date"": ""October 2022"", ""banStatus"": ""Banned Pending Investigation""}]"
Harry Callahan: The Photographer at Work,"Salvesen, Britt",harry callahan the photographer at work,salvesen britt,1,1,1,Banned Pending Investigation,Legislative Action,"[{""state"": ""Missouri"", ""district"": ""Wentzville School District"", ""date"": ""September 2022"", ""banStatus"": ""Banned Pending Investigation""}]"
"Healing Sexual Trauma Workbook: Somatic Skills to Help You Feel Safe in Your Body, Create Boundaries, and Live with Resilience","Shershun, Erika",healing sexual trauma workbook somatic skills to help you feel safe in your body create boundaries and live with resilience,shershun erika,1,1,1,Banned in Libraries and Classrooms,Informal Challenge,"[{""state"": ""Michigan"", ""district"": ""Davison Community Schools"", ""date"": ""August 2022"", ""banStatus"": ""Banned in Libraries and Classrooms""}]"
Hear These Voices: Youth at the Edge of the Millennium,"Allison, Anthony",hear these voices youth at the edge of the millennium,allison anthony,1,1,1,Banned Pending Investigation,Formal Challenge,"[{""state"": ""Florida"", ""district"": ""Escambia County Public Schools"", ""date"": ""September 2022"", ""banStatus"": ""Banned Pending Investigation""}]"
"Heartstopper, Vol. 1","Oseman, Alice",heartstopper vol 1,oseman alice,1,1,1,Banned Pending Investigation,Formal Challenge,"[{""state"": ""Utah"", ""district"": ""Granite School District"", ""date"": ""November 2022"", ""banStatus"": ""Banned Pending Investigation""}]"
"Heartstopper, Vol. 2","Oseman, Alice",heartstopper vol 2,oseman alice,1,1,1,Banned Pending Investigation,Formal Challenge,"[{""state"": ""Utah"", ""district"": ""Granite School District"", ""date"": ""November 2022"", ""banStatus"": ""Banned Pending Investigation""}]"
"Heartstopper, Vol. 3","Oseman, Alice",heartstopper vol 3,oseman alice,1,1,1,Banned Pending Investigation,Formal Challenge,"[{""state"": ""Utah"", ""district"": ""Granite School District"", ""date"": ""November 2022"", ""banStatus"": ""Banned Pending Investigation""}]"
"Heartstopper, Vol. 4","Oseman, Alice",heartstopper vol 4,oseman alice,1,1,1,Banned Pending Investigation,Formal Challenge,"[{""state"": ""Utah"", ""district"": ""Granite School District"", ""date"": ""November 2022"", ""banStatus"": ""Banned Pending Investigation""}]"
History of Western Art in Comics Part One: From Prehistory to the Renaissance,"Augustin, Marion",history of western art in comics part one from prehistory to the renaissance,augustin marion,1,1,1,Banned Pending Investigation,Legislative Action,"[{""state"": ""Missouri"", ""district"": ""Wentzville School District"", ""date"": ""September 2022"", ""banStatus"": ""Banned Pending Investigation""}]"
Hitler's Final Solution,"Allen, John",hitlers final solution,allen john,1,1,1,Banned Pending Investigation,Legislative Action,"[{""state"": ""Missouri"", ""district"": ""Wentzville School District"", ""date"": ""September 2022"", ""banStatus"": ""Banned Pending Investigation""}]"
Hollow City: The Graphic Novel,"Riggs, Ransom",hollow city the graphic novel,riggs ransom,1,1,1,Banned Pending Investigation,Legislative Action,"[{""state"": ""Missouri"", ""district"": ""Wentzville School District"", ""date"": ""September 2022"", ""banStatus"": ""Banned Pending Investigation""}]"
Holocaust Camps and Killing Centers,"Blohm, Craig E.",holocaust camps and killing centers,blohm craig e,1,1,1,Banned Pending Investigation,Legislative Action,"[{""state"": ""Missouri"", ""district"": ""Wentzville School District"", ""date"": ""September 2022"", ""banStatus"": ""Banned Pending Investigation""}]"
Holocaust Rescue and Liberation,"Blohm, Craig E.",holocaust rescue and liberation,blohm craig e,1,1,1,Banned Pending Investigation,Legislative Action,"[{""state"": ""Missouri"", ""district"": ""Wentzville School District"", ""date"": ""September 2022"", ""banStatus"": ""Banned Pending Investigation""}]"
Holocaust Resistance,"Blohm, Craig E.",holocaust resistance,blohm craig e,1,1,1,Banned Pending Investigation,Legislative Action,"[{""state"": ""Missouri"", ""district"": ""Wentzville School District"", ""date"": ""September 2022"", ""banStatus"": ""Banned Pending Investigation""}]"
Home Body,"Kaur, Rupi",home body,kaur rupi,1,1,1,Banned Pending Investigation,Legislative Action,"[{""state"": ""Missouri"", ""district"": ""Wentzville School District"", ""date"": ""September 2022"", ""banStatus"": ""Banned Pending Investigation""}]"
Home for the Holidays,"Vogel Frederick, Heather",home for the holidays,vogel frederick heather,1,1,1,Banned in Libraries,Administration,"[{""state"": ""Texas"", ""district"": ""Frisco Independent School District"", ""date"": ""November 2022"", ""banStatus"": ""Banned in Libraries""}]"
Home Run,"Green, Tim",home run,green tim,1,1,1,Banned in Libraries,Administration,"[{""state"": ""Texas"", ""district"": ""Frisco Independent School District"", ""date"": ""November 2022"", ""banStatus"": ""Banned in Libraries""}]"
Homecoming,"Charlton-Trujillo, E. E.",homecoming,charltontrujillo e e,1,1,1,Banned in Libraries,Administration,"[{""state"": ""Texas"", ""district"": ""Frisco Independent School District"", ""date"": ""October 2022"", ""banStatus"": ""Banned in Libraries""}]"
Homegoing,"Gyasi, Yaa",homegoing,gyasi yaa,1,1,1,Banned in Libraries and Classrooms,Formal Challenge,"[{""state"": ""Florida"", ""district"": ""Clay County School District"", ""date"": ""July 2022"", ""banStatus"": ""Banned in Libraries and Classrooms""}]"
Hooked,"Greenman, Catherine",hooked,greenman catherine,1,1,1,Banned in Libraries and Classrooms,Administration,"[{""state"": ""Texas"", ""district"": ""Frisco Independent School District"", ""date"": ""October 2022"", ""banStatus"": ""Banned in Libraries and Classrooms""}]"
Hopeless,"Hoover, Colleen",hopeless,hoover colleen,1,1,1,Banned Pending Investigation,Informal Challenge,"[{""state"": ""South Carolina"", ""district"": ""Beaufort County School District"", ""date"": ""October 2022"", ""banStatus"": ""Banned Pending Investigation""}]"
Horde,"Bennett, Marguerite",horde,bennett marguerite,1,1,1,Banned Pending Investigation,Legislative Action,"[{""state"": ""Missouri"", ""district"": ""Wentzville School District"", ""date"": ""September 2022"", ""banStatus"": ""Banned Pending Investigation""}]"
House of Dark Shadows,"Liparulo, Robert",house of dark shadows,liparulo robert,1,1,1,Banned Pending Investigation,Administration,"[{""state"": ""Texas"", ""district"": ""Frisco Independent School District"", ""date"": ""October 2022"", ""banStatus"": ""Banned Pending Investigation""}]"
House of Sky and Breath,"Maas, Sarah J.",house of sky and breath,maas sarah j,1,1,1,Banned in Libraries and Classrooms,Formal Challenge,"[{""state"": ""Utah"", ""district"": ""Granite School District"", ""date"": ""October 2022"", ""banStatus"": ""Banned in Libraries and Classrooms""}]"
How Beautiful the Ordinary: Twelve Stories of Identity,"Cart, Michael",how beautiful the ordinary twelve stories of identity,cart michael,1,1,1,Banned in Libraries and Classrooms,Formal Challenge,"[{""state"": ""Texas"", ""district"": ""Keller ISD"", ""date"": ""Fall 2022"", ""banStatus"": ""Banned in Libraries and Classrooms""}]"
How It All Blew Up,"Ahmadi, Arvin",how it all blew up,ahmadi arvin,1,1,1,Banned in Libraries,Formal Challenge,"[{""state"": ""Missouri"", ""district"": ""Williard Public Schools"", ""date"": ""September 2022"", ""banStatus"": ""Banned in Libraries""}]"
How to Be Ace: A Memoir of Growing Up Asexual,"Burgess, Rebecca",how to be ace a memoir of growing up asexual,burgess rebecca,1,1,1,Banned Pending Investigation,Legislative Action,"[{""state"": ""Missouri"", ""district"": ""Wentzville School District"", ""date"": ""September 2022"", ""banStatus"": ""Banned Pending Investigation""}]"
How to Read Italian Renaissance Painting,"Zuffi, Stefano",how to read italian renaissance painting,zuffi stefano,1,1,1,Banned Pending Investigation,Legislative Action,"[{""state"": ""Missouri"", ""district"": ""Wentzville School District"", ""date"": ""September 2022"", ""banStatus"": ""Banned Pending Investigation""}]"
"I Hate Fairyland, Vol. 1: Madly Ever After","Young, Skottie",i hate fairyland vol 1 madly ever after,young skottie,1,1,1,Banned Pending Investigation,Legislative Action,"[{""state"": ""Missouri"", ""district"": ""Wentzville School District"", ""date"": ""September 2022"", ""banStatus"": ""Banned Pending Investigation""}]"
If I Stay,"Forman, Gayle",if i stay,forman gayle,1,1,1,Banned in Libraries,Administration,"[{""state"": ""Texas"", ""district"": ""Frisco Independent School District"", ""date"": ""October 2022"", ""banStatus"": ""Banned in Libraries""}]"
If You Could Be Mine,"Farizan, Sara",if you could be mine,farizan sara,1,1,1,Banned in Libraries and Classrooms,Formal Challenge,"[{""state"": ""Texas"", ""district"": ""Keller ISD"", ""date"": ""Fall 2022"", ""banStatus"": ""Banned in Libraries and Classrooms""}]"
Illegal,"Colfer, Eoin",illegal,colfer eoin,1,1,1,Banned in Libraries,Administration,"[{""state"": ""Texas"", ""district"": ""Frisco Independent School District"", ""date"": ""October 2022"", ""banStatus"": ""Banned in Libraries""}]"
In Our Mothers' House,"Polacco, Patricia",in our mothers house,polacco patricia,1,1,1,Banned in Libraries and Classrooms,Legislative Action,"[{""state"": ""Florida"", ""district"": ""Lake County Schools"", ""date"": ""Fall 2022"", ""banStatus"": ""Banned in Libraries and Classrooms""}]"
